cust_id,equip_id,equip_notes,created_at,updated_at
814,2055,"Replaced Variable Speed Control Board  2-15-00
Dianostic Charge",05/26/2017,05/26/2017
814,3134,The invoice at the bottom says spec house,05/26/2017,05/26/2017
814,3135,The invoice at the bottom says spec house,05/26/2017,05/26/2017
814,3136,The invoice at the bottom says spec house,05/26/2017,05/26/2017
816,2061,Serviced Furnace 2-15-02,05/26/2017,05/26/2017
816,11526,Needs filter replacement ACCGSFHP2  $156  Customer charge $250 (1.56 multiplier)                                       Robertson #108512,05/26/2017,05/26/2017
823,2082,Replaced Flame Sensor 1-10-02,05/26/2017,05/26/2017
841,2124,No Air Conditioning  6-24-00,05/26/2017,05/26/2017
841,2125,"Replaced Pressure Switch 1-20-00
Dianosic Charge(had to test and run through serveral cycles to isolate problem) 1-20-00",05/26/2017,05/26/2017
851,2146,Serviced Gas Furnace 11-5-01,05/26/2017,05/26/2017
853,2149,Serviced Frunace 10-19-01,05/26/2017,05/26/2017
853,2150,5 Years,05/26/2017,05/26/2017
854,2154,"Replaced Component Board 1-6-99
Replaced Hot Surface Ignitor
Dianostic Chrage 2-21-00",05/26/2017,05/26/2017
858,2161,"381-357-312 Parts No
Cga-7PIDN",05/26/2017,05/26/2017
860,3307,Relit Pilot onGas Furnace 3-10-02,05/26/2017,05/26/2017
862,2171,"Replaced Ignitor during a service maintence call 6-7-99
Replaced motor 1-5-00",05/26/2017,05/26/2017
868,2189,replaced Sensor 11-8-01,05/26/2017,05/26/2017
873,2200,Serviced Furnace 5-1-02,05/26/2017,05/26/2017
873,2202,Serviced AC Unit 5-1-02,05/26/2017,05/26/2017
